,t_ext,ghi,t_bed,pv,fixed,tou,fit,ch_cost,dis_cost,mode_0,mode_1,mode_2,set_point,sp_soft,heat_gains,load_sim,load1,heat_gains0,load,cop,cool_cap,p_im,p_ex,p_ch,p_dis,soc,phi_h_heat,phi_h_cool,p_hvac,T_i,T_w,cost,payment,p_load
2020-11-23 00:00:00,21.234355721033353,0.0,28.394999999999996,0.25,0.25,0.16,0.11,0.02,0.01,1.0,0.0,0.0,25.0,10.0,0.5,300.0,500.0,0.0,330.5,3.4861701039342865,-10.356863387727564,830.5,0.0,-500.25,0.0,51.16,0.0,0.0,0.0,24.0,25.0,0.04429333333333333,0.0,330.5
2020-11-23 00:20:00,21.358252134697654,0.0,28.374999999999996,0.0,0.25,0.16,0.11,0.02,0.01,1.0,0.0,0.0,25.0,10.0,0.5,300.0,500.0,0.0,331.25,3.4774690357975198,-10.324381287962318,831.25,0.0,-500.0,0.0,52.31942028985507,0.0,0.0,0.0,24.140544155006104,24.964142760716012,0.044333333333333336,0.0,331.25
2020-11-23 00:40:00,21.407515536029816,0.0,28.345000000000002,0.0,0.25,0.16,0.11,0.02,0.01,1.0,0.0,0.0,25.0,10.0,0.5,300.0,500.0,0.0,329.75,3.4740093374982495,-10.311465831658778,829.75,0.0,-500.0,0.0,53.47884057971014,0.0,0.0,0.0,24.270689691491175,24.930286006860072,0.044253333333333325,0.0,329.75
2020-11-23 01:00:00,21.468761966830925,0.0,28.313333333333333,0.0,0.25,0.16,0.11,0.02,0.01,1.0,0.0,0.0,25.0,10.0,0.5,300.0,500.0,0.0,333.0,3.4697080881579887,-10.295408767400751,833.0,0.0,-500.0,0.0,54.63826086956521,0.0,0.0,0.0,24.391175106446312,24.89841637074047,0.04442666666666666,0.0,333.0
2020-11-23 01:20:00,21.470137425272387,0.0,28.293333333333333,0.0,0.25,0.16,0.11,0.02,0.01,1.0,0.0,0.0,25.0,10.0,0.5,300.0,500.0,0.0,328.3333333333333,3.4696114916765857,-10.295048161496211,828.3333333333333,0.0,-500.0,0.0,55.79768115942028,0.0,0.0,0.0,24.50266026401062,24.867953554853383,0.044177777777777774,0.0,328.3333333333333
2020-11-23 01:40:00,21.519022761787188,0.0,28.26,0.0,0.25,0.16,0.11,0.02,0.01,1.0,0.0,0.0,25.0,10.0,0.5,300.0,500.0,0.0,332.75,3.466178344329346,-10.282231822985931,832.75,0.0,-500.0,0.0,56.95710144927535,0.0,0.0,0.0,24.605782941857647,24.83918699916524,0.044413333333333326,0.0,332.75
2020-11-23 02:00:00,21.536707824851952,0.0,28.226666666666663,0.0,0.25,0.16,0.11,0.02,0.01,1.0,0.0,0.0,25.0,10.0,0.5,300.0,500.0,0.0,330.25,3.4649363476146835,-10.277595304737869,830.25,0.0,-500.0,0.0,58.11652173913042,0.0,0.0,0.0,24.701122762722083,24.811779133117266,0.04428,0.0,330.25
2020-11-23 02:20:00,21.437292066054756,0.0,28.215,0.0,0.25,0.16,0.11,0.02,0.01,1.0,0.0,0.0,25.0,10.0,0.5,300.0,500.0,0.0,328.75,3.471918174332498,-10.30365927624424,828.75,0.0,-500.0,0.0,59.27594202898549,0.0,0.0,0.0,24.789164411750086,24.78471732931106,0.0442,0.0,328.75
2020-11-23 02:40:00,21.339599440772812,0.0,28.165,0.0,0.25,0.16,0.11,0.02,0.01,1.0,0.0,0.0,25.0,10.0,0.5,300.0,500.0,0.0,336.75,3.4787789878451556,-10.3292714913753,836.75,0.0,-500.0,0.0,60.43536231884056,0.0,0.0,0.0,24.87036091323712,24.757955271478984,0.04462666666666666,0.0,336.75
2020-11-23 03:00:00,21.40122545946528,0.0,28.15,0.0,0.25,0.16,0.11,0.02,0.01,1.0,0.0,0.0,25.0,10.0,0.5,300.0,500.0,0.0,331.0,3.474451080589554,-10.313114910017527,831.0,0.0,-500.0,0.0,61.59478260869563,0.0,0.0,0.0,24.94521065379607,24.73270678010985,0.04432,0.0,331.0
